Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2009-11-17,13.649818,13.688161,13.638864,13.671728,500414.84,6836931.0,24.96,0.0,0,0,0
2009-11-18,13.655296,13.655296,13.595044,13.611477,131265.33,1789109.0,24.85,0.0,0,0,0
2009-11-19,13.688161,13.688161,13.655296,13.671728,105340.89,1440734.0,24.96,0.0,0,0,0
2009-11-20,13.682683,13.699116,13.622432,13.699116,177637.23,2429658.0,25.01,0.0,0,0,0
2009-11-23,13.649818,13.688161,13.638864,13.638864,38156.406,521133.0,24.9,0.0,0,0,0
2009-11-24,13.666251,13.666251,13.633386,13.649818,160841.11,2194297.0,24.92,0.0,0,0,0
2009-11-25,13.693638,13.737457,13.682683,13.737457,71383.516,978680.0,25.08,0.0,0,0,0
2009-11-27,13.748413,13.75389,13.742935,13.748413,29210.645,401646.0,25.1,0.0,0,0,0
2009-11-30,13.693638,13.7758,13.666251,13.764845,49292.965,677457.0,25.13,0.0,0,0,0
2009-12-01,13.721025,13.721025,13.616954,13.666251,353448.8,4839090.0,24.95,0.0,0,0,0
2009-12-02,13.666251,13.742935,13.666251,13.737457,74122.01,1016331.0,25.08,0.0,0,0,0
2009-12-03,13.682683,13.682683,13.600521,13.611477,228938.42,3119262.0,24.85,0.0,0,0,0
2009-12-04,13.595044,13.595044,13.419765,13.51836,137655.16,1863842.0,24.68,0.0,0,0,0
2009-12-07,13.529315,13.551224,13.490972,13.529315,145140.39,1964516.0,24.7,0.0,0,0,0
2009-12-08,13.600521,13.611477,13.573134,13.584088,51848.895,705095.0,24.8,0.0,0,0,0
2009-12-09,13.584088,13.611477,13.529315,13.534791,239709.86,3248506.0,24.71,0.0,0,0,0
2009-12-10,13.490972,13.540269,13.447152,13.51836,235145.69,3167617.0,24.68,0.0,0,0,0
2009-12-11,13.441676,13.47454,13.392379,13.458107,305433.8,4101811.0,24.57,0.0,0,0,0
2009-12-14,13.47454,13.47454,13.419765,13.463585,276405.72,3722471.0,24.58,0.0,0,0,0
2009-12-15,13.392379,13.43072,13.370468,13.397855,177089.53,2373842.0,24.46,0.0,0,0,0
2009-12-16,13.425243,13.45263,13.408811,13.419765,104245.49,1401234.0,24.5,0.0,0,0,0
2009-12-17,13.496449,13.529315,13.425243,13.51836,130169.94,1756924.0,24.68,0.0,0,0,0
2009-12-18,13.540269,13.578612,13.496449,13.496449,77590.77,1049456.0,24.64,0.0,0,0,0
2009-12-21,13.45263,13.469063,13.326649,13.370468,118668.24,1588359.0,24.41,0.0,0,0,0
2009-12-22,13.348559,13.386901,13.304739,13.359513,372070.6,4965627.0,24.39,0.0,0,0,0
2009-12-23,13.375946,13.397855,13.315694,13.343081,179462.9,2397635.0,24.36,0.0,0,0,0
2009-12-24,13.315694,13.343081,13.244487,13.299262,186217.86,2480323.0,24.28,0.0,0,0,0
2009-12-28,13.299262,13.299262,13.195189,13.2663965,196076.45,2600347.0,24.22,0.0,0,0,0
2009-12-29,13.2663965,13.282829,13.228054,13.282829,249385.88,3304572.0,24.25,0.0,0,0,0
2009-12-30,13.299262,13.343081,13.282829,13.332127,118668.24,1580013.0,24.34,0.0,0,0,0
2009-12-31,13.299262,13.343081,13.228054,13.304739,281152.47,3737503.0,24.29,0.0,0,0,0
2010-01-04,13.310216,13.326649,13.255443,13.326649,104975.76,1394881.0,24.33,0.0,0,0,0
2010-01-05,13.352529,13.418603,13.3305025,13.396578,81362.87,1089701.0,24.33,0.0,0,0,0
2010-01-06,13.380059,13.385565,13.297466,13.319491,466565.2,6224378.0,24.19,0.0,0,0,0
2010-01-07,13.336009,13.352529,13.302973,13.3305025,390650.75,5207527.0,24.21,0.0,0,0,0
2010-01-08,13.363541,13.363541,13.302973,13.352529,314554.66,4194730.0,24.25,0.0,0,0,0
2010-01-11,13.45164,13.473664,13.402084,13.446134,307471.72,4134847.0,24.42,0.0,0,0,0
2010-01-12,13.539739,13.545245,13.468158,13.539739,292397.8,3953902.0,24.59,0.0,0,0,0
2010-01-13,13.479171,13.512209,13.407591,13.418603,492535.94,6620941.0,24.37,0.0,0,0,0
2010-01-14,13.495689,13.545245,13.484677,13.528727,374487.12,5057261.0,24.57,0.0,0,0,0
2010-01-15,13.578282,13.594801,13.517714,13.561763,149104.72,2024003.0,24.63,0.0,0,0,0
2010-01-19,13.600307,13.616825,13.550752,13.589294,116595.9,1585496.0,24.68,0.0,0,0,0
2010-01-20,13.644357,13.6829,13.627838,13.660875,132033.05,1803737.0,24.81,0.0,0,0,0
2010-01-21,13.660875,13.721443,13.655369,13.715938,133849.19,1834157.0,24.91,0.0,0,0,0
2010-01-22,13.721443,13.737963,13.6939125,13.732456,136391.77,1871251.0,24.94,0.0,0,0,0
2010-01-25,13.6939125,13.721443,13.655369,13.704925,121317.85,1662732.0,24.89,0.0,0,0,0
2010-01-26,13.710431,13.765493,13.699418,13.710431,148015.05,2030645.0,24.9,0.0,0,0,0
2010-01-27,13.710431,13.737963,13.6829,13.710431,185245.81,2540514.0,24.9,0.0,0,0,0
2010-01-28,13.655369,13.688407,13.649863,13.688407,134938.86,1844512.0,24.86,0.0,0,0,0
2010-01-29,13.644357,13.72695,13.633345,13.715938,131306.6,1797327.0,24.91,0.0,0,0,0
2010-02-01,13.710431,13.721443,13.649863,13.655369,174893.84,2391466.0,24.8,0.0,0,0,0
2010-02-02,13.6939125,13.732456,13.6829,13.72695,117322.35,1607855.0,24.93,0.0,0,0,0
2010-02-03,13.671887,13.6939125,13.627838,13.627838,195597.78,2670863.0,24.75,0.0,0,0,0
2010-02-04,13.710431,13.759987,13.655369,13.748974,286586.2,3933101.0,24.97,0.0,0,0,0
2010-02-05,13.748974,13.820556,13.688407,13.7875185,369765.2,5097309.0,25.04,0.0,0,0,0
2010-02-08,13.770999,13.776505,13.743467,13.765493,114416.53,1574590.0,25.0,0.0,0,0,0
2010-02-09,13.732456,13.765493,13.6939125,13.6939125,207402.67,2847394.0,24.87,0.0,0,0,0
2010-02-10,13.715938,13.72695,13.622332,13.649863,424067.62,5797875.0,24.79,0.0,0,0,0
2010-02-11,13.633345,13.638851,13.545245,13.561763,641277.44,8704833.0,24.63,0.0,0,0,0
2010-02-12,13.642567,13.659171,13.603826,13.631497,476826.3,6494262.0,24.63,0.0,0,0,0
